CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41650270,WING HUA 508,BROOKLYN,508,COURT STREET,11231,7188558797,Chinese,02/09/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,02/09/2015,06/18/2018,Cycle Inspection / Re-inspection
50014362,URUBAMBA,QUEENS,8620,37TH AVE,11372,7186722224,Peruvian,02/24/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,B,02/24/2018,06/18/2018,Cycle Inspection / Re-inspection
40861669,NEW VICTORY RESTAURANT,BROOKLYN,4803,5 AVENUE,11220,7184312938,Chinese,05/02/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,,,06/18/2018,Cycle Inspection / Initial Inspection
41553437,LA PUNTILLA BAR & RESTAURANT,QUEENS,9117,37 AVENUE,11372,7184243836,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",09/01/2016,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,06/18/2018,Administrative Miscellaneous / Initial Inspection
40799384,LA PALAPA,MANHATTAN,77,ST MARKS PLACE,10003,2127772537,Mexican,04/15/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,04/15/2015,06/18/2018,Cycle Inspection / Initial Inspection
41683743,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,13640,39 AVENUE,11354,7183580902,American,06/29/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,06/29/2016,06/18/2018,Cycle Inspection / Initial Inspection
41005152,CAFE K,MANHATTAN,8,EAST   48 STREET,10017,2126885373,Jewish/Kosher,04/13/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,04/13/2018,06/18/2018,Cycle Inspection / Initial Inspection
41014952,CORTE CAFE,MANHATTAN,2,LAFAYETTE STREET,10007,2127663200,Delicatessen,03/22/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,60,,,06/18/2018,Cycle Inspection / Initial Inspection
50077180,,QUEENS,4663,METROPOLITAN AVE,11385,3472278030,Other,01/01/1900,,,,Not Applicable,,,,06/18/2018,
41406255,"TACO BELL, KFC",MANHATTAN,3645,BROADWAY,10031,2124919151,Tex-Mex,12/16/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,12/16/2016,06/18/2018,Cycle Inspection / Re-inspection
50014452,TERIYAKI JAPAN,BROOKLYN,6814,4TH AVE,11220,7188333068,Japanese,04/07/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,04/07/2015,06/18/2018,Cycle Inspection / Initial Inspection
41705748,GENKI SUSHI HOUSE,STATEN ISLAND,150,GREAVES LANE,10308,7182138276,Japanese,11/15/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,18,,,06/18/2018,Cycle Inspection / Initial Inspection
41548483,PICNIC PERLA RESTAURANTE,BROOKLYN,3913,13 AVENUE,11218,7184350359,Mexican,08/25/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21,B,08/25/2016,06/18/2018,Cycle Inspection / Re-inspection
50059446,ACP COFFEE,MANHATTAN,2286,7TH AVE,10030,6468666966,Caf?©/Coffee/Tea,10/27/2017,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,23,,,06/18/2018,Cycle Inspection / Initial Inspection
41643512,POTBELLY SANDWICH,MANHATTAN,366,5 AVENUE,10001,6462894207,Sandwiches/Salads/Mixed Buffet,09/29/2017,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,13,A,09/29/2017,06/18/2018,Cycle Inspection / Re-inspection
41635173,NETA,MANHATTAN,61,WEST    8 STREET,10011,2125052610,Japanese,03/01/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,25,,,06/18/2018,Cycle Inspection / Initial Inspection
41690753,696 GOURMET DELI,MANHATTAN,696,3 AVENUE,10017,2124907115,Delicatessen,06/24/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,,06/18/2018,Cycle Inspection / Initial Inspection
50073940,INDIAN SPICY CURRY HOUSE,QUEENS,8327,PARSONS BLVD,11432,7182989091,Other,03/02/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,03/02/2018,06/18/2018,Pre-permit (Operational) / Initial Inspection
40373272,HENRY'S END,BROOKLYN,44,HENRY STREET,11201,7188341776,American,09/22/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,09/22/2016,06/18/2018,Cycle Inspection / Initial Inspection
41061893,BURGER KING,QUEENS,12002,LIBERTY AVENUE,11419,7186411924,Hamburgers,12/15/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,12/15/2015,06/18/2018,Cycle Inspection / Re-inspection
50016669,GEORGE AND JACKS,BROOKLYN,103,BERRY ST,11249,6467328518,American,06/08/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,22,,,06/18/2018,Cycle Inspection / Initial Inspection
40861141,CASA PROMESA,BRONX,308,EAST  175 STREET,10457,7189607658,American,09/01/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,26,,,06/18/2018,Cycle Inspection / Initial Inspection
40734589,THE GREEK KITCHEN  CLINTON BAKERY CAFE,MANHATTAN,889,10 AVENUE,10019,2125814300,Greek,07/28/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,,06/18/2018,Cycle Inspection / Initial Inspection
40571663,SANTOOR INDIAN RESTAURANT,QUEENS,25705,UNION TURNPIKE,11004,7183433939,Indian,02/04/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,34,,,06/18/2018,Cycle Inspection / Initial Inspection
50014342,UNDERGROUND LOUNGE,BRONX,250,BEDFORD PARK BLVD W,10468,7189602234,American,07/06/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140?º F.,Critical,55,,,06/18/2018,Cycle Inspection / Initial Inspection
41299757,1 OAK,MANHATTAN,453,WEST   17 STREET,10011,2122421111,American,06/10/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,,,06/18/2018,Cycle Inspection / Initial Inspection
41108853,OMIYA SUSHI II,BROOKLYN,2317,AVENUE U,11229,7188918808,Japanese,03/15/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,03/15/2018,06/18/2018,Cycle Inspection / Initial Inspection
41396676,STAND 125 FOOD COURT,BRONX,1,EAST 161 STREET,10451,__________,American,05/25/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,05/25/2016,06/18/2018,Cycle Inspection / Initial Inspection
50016117,RED PIPE CAFE,QUEENS,7160,AUSTIN ST,11375,7185445997,Caf?©/Coffee/Tea,03/08/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,21,,,06/18/2018,Cycle Inspection / Initial Inspection
41382903,THE LEXINGTON SOCIAL,MANHATTAN,1634,LEXINGTON AVENUE,10029,6464100099,American,09/08/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24,,,06/18/2018,Cycle Inspection / Initial Inspection
50002306,DOMINO'S,BRONX,1468,WESTCHESTER AVE,10472,7188931777,Pizza,02/13/2016,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,18,,,06/18/2018,Cycle Inspection / Initial Inspection
41677470,ESPLANADE STATEN ISLAND,STATEN ISLAND,1415,RICHMOND AVENUE,10314,7186985000,American,02/27/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,27,,,06/18/2018,Cycle Inspection / Initial Inspection
41716092,DOMINO'S PIZZA,MANHATTAN,3624,BROADWAY,10031,2129261234,Pizza,05/13/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,05/13/2015,06/18/2018,Cycle Inspection / Re-inspection
41529523,POPEYES LOUISIANA KITCHEN,BROOKLYN,736,LINDEN BOULEVARD,11203,3476638668,Chicken,10/28/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,10/28/2016,06/18/2018,Cycle Inspection / Re-inspection
41304936,DRAM SHOP,BROOKLYN,339,9 STREET,11215,7187881444,American,03/25/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,24,B,03/25/2016,06/18/2018,Cycle Inspection / Re-inspection
